,Capital_Receipts,Aggregate_Receipts,Social_Sector_Expenditure,Interest_Payments,Own_Tax_Revenues,Fiscal_Deficits,Outstanding_Liabilities,Aggregate_Expenditure,Revenue_Receipts,Revenue_Expenditure,Revenue_Deficits,Capital_Expenditure
1980,325.0,1590.0,532.0,81.7,582.0,222.1,81.5,1610.0,1265.0,1161.0,-104.0,449.0
1981,323.0,1789.0,613.0,96.8,703.0,243.7,94.54,1831.0,1466.0,1386.0,-80.0,445.0
1982,304.0,1943.0,697.0,112.1,808.0,172.4,110.63,1933.0,1639.0,1507.0,-132.6,427.0
1983,546.0,2499.0,1073.0,123.0,965.0,493.0,129.4,2588.0,1953.0,2042.0,88.6,546.0
1984,668.0,2962.0,1193.0,153.8,1174.0,591.4,152.24,3119.0,2294.0,2463.0,169.0,656.0
1985,773.0,3546.0,1470.0,190.7,1439.0,435.0,177.78,3413.0,2773.0,2781.0,7.3,633.0
1986,906.0,3962.0,1849.0,295.6,1559.0,804.0,202.01,4068.0,3056.0,3245.0,189.0,824.0
1987,917.0,4395.0,1884.0,312.9,1819.0,568.0,233.13,4294.0,3478.0,3441.0,-37.0,853.0
1988,1005.0,5284.0,2103.0,372.8,2122.0,673.0,283.01,5223.0,4279.0,4246.0,-33.0,977.0
1989,1237.0,5714.0,2387.0,470.9,2384.0,972.0,348.29,5768.0,4477.0,4715.0,238.2,1053.0
1990,1261.0,6608.0,2741.0,590.0,2650.0,967.1,418.09,6581.0,5347.0,5505.0,157.6,1076.0
1991,1567.0,7849.0,3121.0,700.0,3060.0,1125.3,486.37,7758.0,6282.0,6452.0,169.6,1306.0
1992,1937.0,9003.0,3662.0,830.0000000000001,3390.0,1569.3,560.3,8984.0,7066.0,7190.0,123.8,1793.0
1993,2553.0,10804.0,3919.0,1030.0,3830.0,1833.2,652.51,10541.0,8251.0,8018.0,-232.3,2523.0
1994,3381.0,12167.0,4265.0,1260.0,4230.0,2348.5,754.18,12459.0,8786.0,9514.0,727.8,2945.0
1995,4457.0,14332.0,5507.0,1530.0,4120.0,2416.8,832.82,14301.0,9875.0,10614.0,738.9,3687.0
1996,4457.0,15650.0,6284.0,1840.0,4880.0,2811.5,904.56,16265.0,11193.0,14392.0,3199.1,1872.0
1997,4863.0,18704.0,6759.0,2150.0,7109.999999999999,2427.8,998.75,17745.0,13841.0,14544.0,703.2,3201.0
1998,6814.0,21074.0,8927.0,2640.0,7959.999999999999,5705.6,1100.54,21958.0,14260.0,16944.0,2684.1,5014.0
1999,6221.0,23026.0,8831.0,3100.0,9010.0,4976.4,1236.8,22767.0,16805.0,18038.0,1233.3,4729.0
2000,8310.0,27785.0,10006.0,3790.0,10550.0,7305.9,1395.1,28119.0,19475.0,23070.0,3595.1,5049.0
2001,9732.0,31577.0,10876.0,4580.0,12560.0,6723.1,1505.5,31074.0,21845.0,24726.0,2881.3,6348.0
2002,11253.0,34256.0,11179.0,6130.0,12620.0,7630.0,1742.6,34373.0,23003.0,26057.0,3054.0,8316.0
2003,14244.0,41113.0,13367.0,6859.999999999999,13810.0,7450.0,1962.0,40120.0,26869.0,29830.0,2962.0,10290.0
2004,19377.0,48127.0,13821.0,7090.000000000001,16250.0,8190.000000000001,1226.1,47153.0,28750.0,31307.0,2558.0,15845.0
2005,13454.0,48305.0,14900.0,7009.999999999999,19210.0,8300.0,1405.1,48306.0,34851.0,34915.0,64.0,13391.0
2006,13548.0,57793.0,18654.0,7280.0,23930.0,5640.0,1609.0,56648.0,44245.0,41438.0,-2807.0,15210.0
2007,23767.0,77910.0,24471.0,7590.000000000001,28790.0,8790.0,,74875.0,54143.0,53984.0,-159.0,20892.0
2008,13781.16,76639.61,31440.0,8059.999999999999,33360.0,12410.0,,80803.89,62858.45,61854.22,-1000.0,18949.67
2009,20697.64,85375.98999999999,30280.0,8910.0,35180.0,14010.0,,85074.79000000001,64678.35,63447.93000000001,-1230.0,21626.86
2010,21635.67,102631.97,39130.0,9670.0,45140.0,11800.0,,100635.63999999998,80996.3,78534.26,-2460.0,22101.38
2011,21919.13,115472.82,45400.0,10560.0,53279.99999999999,15400.0,,115881.55,93553.69,90415.36,-3140.0,25466.19
2012,25725.24,129555.52,49440.0,11660.0,59879.99999999999,17510.0,,129440.92,103830.28,102702.38,-1130.0,26738.54
2013,28860.16,139578.99,53740.0,12910.0,64120.00000000001,18040.0,,136629.27,110718.83,110374.49,-340.0,26254.78
2014,36366.71,127039.16,46150.0,10007.221,38480.0,20320.0,,111067.46,90672.45,98308.63,14240.0,12758.83
2015,21727.49,111108.31,52450.0,9477.8651,44420.0,17580.0,,112048.99,89380.81999999999,97424.78,7300.0,14624.21
2016,24790.16,134090.01,,12258.3468,,,,,109299.85,,,
