,State,GDP_PREDICTED_2020
0,Andhra Pradesh ,584258.8154011803
1,Arunachal Pradesh,25288.604856739923
2,Assam,327630.1345045185
3,Bihar,627220.8466234378
4,Chhattisgarh,366187.07064146013
5,Goa,53229.16310354827
6,Gujarat,860725.4847805349
7,Haryana,548836.3667619269
8,Himachal Pradesh,111763.89305530902
9,Jammu & Kashmir,213747.21501981348
10,Jharkhand,265795.3288252978
11,Karnataka,986458.6295422399
12,Kerala,748909.3717069804
13,Madhya Pradesh,770234.555665391
14,Maharashtra,1624350.885588207
15,Manipur,16178.912819642961
16,Meghalaya,20062.39281914483
17,Mizoram,16870.03253621535
18,Nagaland,20501.50864364161
19,Odisha,405823.0776833067
20,Punjab,420739.74267901835
21,Rajasthan,913406.9689340893
22,Sikkim,153289.91908122992
23,Tamil Nadu,1289716.090146097
24,Telangana,1146750.378146742
25,Tripura,51174.62564208044
26,Uttar Pradesh,1619682.5813273059
27,Uttarakhand,174911.4306823675
28,West Bengal,827233.5442030012
29,All States,21382228.461505428
30,Delhi,362902.80970736005
31,Puducherry,25973.633810870062
