,Interest_Payments,Aggregate_Expenditure,Outstanding_Liabilities,Capital_Expenditure,Revenue_Expenditure,Capital_Receipts,Fiscal_Deficits,Aggregate_Receipts,Revenue_Receipts,Revenue_Deficits,Social_Sector_Expenditure,Own_Tax_Revenues
Andhra Pradesh ,139181.21875,165871.15625,165871.15625,165871.15625,165871.15625,165871.15625,165871.15625,165871.15625,165871.15625,165871.15625,165871.15625,165871.15625
Arunachal Pradesh,165871.15625,3697.12353515625,3697.12353515625,3697.12353515625,3697.12353515625,3697.12353515625,3697.12353515625,3697.12353515625,3697.12353515625,3697.12353515625,3697.12353515625,3697.12353515625
Assam,3697.12353515625,32349.544921875,32349.544921875,32349.544921875,32349.544921875,32349.544921875,32349.544921875,32349.544921875,32349.544921875,32349.544921875,32349.544921875,32349.544921875
Bihar,32349.544921875,91306.4375,91306.4375,91306.4375,91306.4375,91306.4375,91306.4375,91306.4375,91306.4375,91306.4375,91306.4375,91306.4375
Chhattisgarh,91306.4375,10038.3173828125,10038.3173828125,10038.3173828125,10038.3173828125,10038.3173828125,10038.3173828125,10038.3173828125,10038.3173828125,10038.3173828125,10038.3173828125,10038.3173828125
Goa,10038.3173828125,8426.166015625,8426.166015625,8426.166015625,8426.166015625,8426.166015625,8426.166015625,8426.166015625,8426.166015625,8426.166015625,8426.166015625,8426.166015625
Gujarat,8426.166015625,122466.359375,122466.359375,122466.359375,122466.359375,122466.359375,122466.359375,122466.359375,122466.359375,122466.359375,122466.359375,122466.359375
Haryana,122466.359375,70001.234375,70001.234375,70001.234375,70001.234375,70001.234375,70001.234375,70001.234375,70001.234375,70001.234375,70001.234375,70001.234375
Himachal Pradesh,70001.234375,13714.0068359375,13714.0068359375,13714.0068359375,13714.0068359375,13714.0068359375,13714.0068359375,13714.0068359375,13714.0068359375,13714.0068359375,13714.0068359375,13714.0068359375
Jammu & Kashmir,13714.0068359375,40878.6328125,40878.6328125,40878.6328125,40878.6328125,40878.6328125,40878.6328125,40878.6328125,40878.6328125,40878.6328125,40878.6328125,40878.6328125
Jharkhand,40878.6328125,17156.201171875,17156.201171875,17156.201171875,17156.201171875,17156.201171875,17156.201171875,17156.201171875,17156.201171875,17156.201171875,17156.201171875,17156.201171875
Karnataka,17156.201171875,102769.921875,102769.921875,102769.921875,102769.921875,102769.921875,102769.921875,102769.921875,102769.921875,102769.921875,102769.921875,102769.921875
Kerala,102769.921875,62411.2265625,62411.2265625,62411.2265625,62411.2265625,62411.2265625,62411.2265625,62411.2265625,62411.2265625,62411.2265625,62411.2265625,62411.2265625
Madhya Pradesh,62411.2265625,97738.6328125,97738.6328125,97738.6328125,97738.6328125,97738.6328125,97738.6328125,97738.6328125,97738.6328125,97738.6328125,97738.6328125,97738.6328125
Maharashtra,97738.6328125,234015.171875,234015.171875,234015.171875,234015.171875,234015.171875,234015.171875,234015.171875,234015.171875,234015.171875,234015.171875,234015.171875
Manipur,234015.171875,4732.86767578125,4732.86767578125,4732.86767578125,4732.86767578125,4732.86767578125,4732.86767578125,4732.86767578125,4732.86767578125,4732.86767578125,4732.86767578125,4732.86767578125
Meghalaya,4732.86767578125,8620.6181640625,8620.6181640625,8620.6181640625,8620.6181640625,8620.6181640625,8620.6181640625,8620.6181640625,8620.6181640625,8620.6181640625,8620.6181640625,8620.6181640625
Mizoram,8620.6181640625,5827.38916015625,5827.38916015625,5827.38916015625,5827.38916015625,5827.38916015625,5827.38916015625,5827.38916015625,5827.38916015625,5827.38916015625,5827.38916015625,5827.38916015625
Nagaland,5827.38916015625,7874.29052734375,7874.29052734375,7874.29052734375,7874.29052734375,7874.29052734375,7874.29052734375,7874.29052734375,7874.29052734375,7874.29052734375,7874.29052734375,7874.29052734375
Odisha,7874.29052734375,65570.828125,65570.828125,65570.828125,65570.828125,65570.828125,65570.828125,65570.828125,65570.828125,65570.828125,65570.828125,65570.828125
Punjab,65570.828125,50643.08984375,50643.08984375,50643.08984375,50643.08984375,50643.08984375,50643.08984375,50643.08984375,50643.08984375,50643.08984375,50643.08984375,50643.08984375
Rajasthan,50643.08984375,113470.1875,113470.1875,113470.1875,113470.1875,113470.1875,113470.1875,113470.1875,113470.1875,113470.1875,113470.1875,113470.1875
Sikkim,113470.1875,4559.6005859375,4559.6005859375,4559.6005859375,4559.6005859375,4559.6005859375,4559.6005859375,4559.6005859375,4559.6005859375,4559.6005859375,4559.6005859375,4559.6005859375
Tamil Nadu,4559.6005859375,142887.640625,142887.640625,142887.640625,142887.640625,142887.640625,142887.640625,142887.640625,142887.640625,142887.640625,142887.640625,142887.640625
Telangana,142887.640625,142887.640625,142887.640625,142887.640625,142887.640625,142887.640625,142887.640625,142887.640625,142887.640625,142887.640625,142887.640625,142887.640625
Tripura,142887.640625,5908.65673828125,5908.65673828125,5908.65673828125,5908.65673828125,5908.65673828125,5908.65673828125,5908.65673828125,5908.65673828125,5908.65673828125,5908.65673828125,5908.65673828125
Uttar Pradesh,5908.65673828125,188349.359375,188349.359375,188349.359375,188349.359375,188349.359375,188349.359375,188349.359375,188349.359375,188349.359375,188349.359375,188349.359375
Uttarakhand,188349.359375,3416.344482421875,3416.344482421875,3416.344482421875,3416.344482421875,3416.344482421875,3416.344482421875,3416.344482421875,3416.344482421875,3416.344482421875,3416.344482421875,3416.344482421875
West Bengal,3416.344482421875,92115.421875,92115.421875,92115.421875,92115.421875,92115.421875,92115.421875,92115.421875,92115.421875,92115.421875,92115.421875,92115.421875
All States,92115.421875,1988334.5,1988334.5,1988334.5,1988334.5,1988334.5,1988334.5,1988334.5,1988334.5,1988334.5,1988334.5,1988334.5
Delhi,1988334.5,18526.583984375,18526.583984375,18526.583984375,18526.583984375,18526.583984375,18526.583984375,18526.583984375,18526.583984375,18526.583984375,18526.583984375,18526.583984375
